ID	valid_relation	spatial_relation	temporal_span	narrative_tense
SYIHIB	VALID	IN	HABITUAL	ALREADY HAPPENED
QHWHRI	VALID	IN	PUNCTUAL	ALREADY HAPPENED
PKKMZV	VALID	NO REL		
ALZKFI	VALID	NO REL		
LJVZIS	VALID	THRU	PUNCTUAL	ONGOING
FPOWRW	VALID	FROM	PUNCTUAL	ONGOING
XOAUOD	INVALID			
NSJWIS	VALID	IN	HABITUAL	ONGOING
YNBPXS	VALID	NO REL		
CRVWAZ	VALID	IN	HABITUAL	ONGOING
CGMUGE	VALID	NO REL		
CWUUMP	VALID	NO REL		
BMCVMO	VALID	NO REL		
YJGTKP	INVALID			
XNPDMY	INVALID			
CZKNXA	VALID	NO REL		
FKKTCJ	VALID	NO REL		
KIDCTI	VALID	IN	HABITUAL	ONGOING
UCCLWO	INVALID			
HNHTOP	VALID	IN	HABITUAL	ONGOING
FRHKHH	VALID	IN	PUNCTUAL	ALREADY HAPPENED
CEDQDK	VALID	NO REL		
EWXCSF	VALID	IN	HABITUAL	ONGOING
HGUMJD	INVALID			
ESRIKW	VALID	IN	HABITUAL	ONGOING
OKSTZH	VALID	IN	PUNCTUAL	ONGOING
BILYVD	VALID	IN	HABITUAL	ONGOING
TKTCUF	VALID	IN	HABITUAL	ALREADY HAPPENED
KXUJEI	VALID	NO REL		
LWTYSY	INVALID			
OTEJBF	VALID	IN	PUNCTUAL	ONGOING
TVARWT	VALID	NO REL		
EFFEQM	VALID	NO REL		
DVEQRG	VALID	IN	PUNCTUAL	ONGOING
QNWTXZ	VALID	IN	PUNCTUAL	ONGOING
YKSPYQ	INVALID			
NUIITA	VALID	IN	PUNCTUAL	ONGOING
QLTCBJ	VALID	NO REL		
HMYHPA	VALID	FROM	HABITUAL	ONGOING
ZAWPQC	VALID	IN	PUNCTUAL	ONGOING
DVNEHV	VALID	NO REL		
PHJWHA	VALID	IN	PUNCTUAL	ONGOING
QTALHK	INVALID			
JHTFCY	VALID	FROM	PUNCTUAL	ONGOING
KKCELW	VALID	IN	PUNCTUAL	ALREADY HAPPENED
LAQHKV	INVALID			
WVYRVV	VALID	IN	PUNCTUAL	ONGOING
SGAJWP	INVALID			
OEXOSR	INVALID			
ZIXTFO	INVALID			
HDVGTU	VALID	IN	PUNCTUAL	ONGOING
PDACEW	VALID	IN	HABITUAL	ALREADY HAPPENED
WFQAIJ	INVALID			
SDRJON	VALID	IN	PUNCTUAL	ONGOING
QHVOBH	VALID	THRU	PUNCTUAL	ONGOING
OLVFUL	VALID	IN	HABITUAL	ONGOING
TODKWY	VALID	TO	PUNCTUAL	ONGOING
LBCCOB	VALID	NO REL		
BQEPJH	VALID	NO REL		
XDZUEM	INVALID			
ACUJBD	VALID	IN	PUNCTUAL	ALREADY HAPPENED
GVIXMY	INVALID			
EJSNXH	VALID	IN	PUNCTUAL	ONGOING
EDJZPU	INVALID			
EWNMUV	VALID	TO	PUNCTUAL	ALREADY HAPPENED
CQWNEA	VALID	NO REL		
VLZCCN	VALID	IN	PUNCTUAL	ONGOING
DKFIQJ	VALID	IN	PUNCTUAL	ALREADY HAPPENED
ZIQGOW	VALID	NEAR	PUNCTUAL	ONGOING
KLTKTV	VALID	NO REL		
ABQKNK	VALID	NO REL		
XPTKPO	VALID	NO REL		
ZJUCUT	VALID	IN	PUNCTUAL	ONGOING
VMCWEL	VALID	NO REL		
AAKXST	VALID	NO REL		
TOELQM	VALID	NEAR	PUNCTUAL	ONGOING
XIOHUR	INVALID			
DCODSV	VALID	TO	HABITUAL	ONGOING
MOICUV	VALID	THRU	PUNCTUAL	ONGOING
VFEBHO	VALID	IN	HABITUAL	ALREADY HAPPENED
VBHWPI	VALID	IN	HABITUAL	ONGOING
MTYKUN	VALID	NO REL		
YLOMDT	INVALID			
TJHPLX	VALID	TO	PUNCTUAL	ONGOING
VZPRVX	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
LLMSKD	VALID	NO REL		
ZGPGXU	VALID	NO REL		
TCBNZJ	VALID	THRU	PUNCTUAL	ONGOING
FYGFJE	INVALID			
HOCIWM	INVALID			
ACOSWL	VALID	IN	PUNCTUAL	ONGOING
QPFHJW	VALID	NEAR	PUNCTUAL	ONGOING
OASFKH	VALID	IN	PUNCTUAL	ALREADY HAPPENED
QRYTIV	VALID	IN	HABITUAL	ONGOING
WJPUMB	VALID	IN	HABITUAL	ALREADY HAPPENED
VBUWXM	VALID	NO REL		
SRISCP	INVALID			
RYTFCL	VALID	NO REL		
CWQDDB	VALID	IN	PUNCTUAL	ONGOING
LOQAGP	VALID	NO REL		
NZMDRW	VALID	NO REL		
EYREHJ	VALID	IN	PUNCTUAL	ONGOING
RNRYRW	VALID	NO REL		
YLPDBY	VALID	IN	PUNCTUAL	ONGOING
DDKPIN	VALID	IN	HABITUAL	ONGOING
RXFNYI	VALID	IN	HABITUAL	ONGOING
YTFDSF	VALID	IN	PUNCTUAL	ONGOING
PBQNCX	VALID	NO REL		
VPZFMF	VALID	NEAR	PUNCTUAL	ALREADY HAPPENED
MHHDOA	VALID	IN	HABITUAL	ONGOING
EQYPII	VALID	NO REL		
PNGDNX	INVALID			
VVFPUH	VALID	NO REL		
XYBYOK	VALID	IN	PUNCTUAL	ALREADY HAPPENED
GETXFA	VALID	NO REL		
NDLWLF	INVALID			
ADJCTU	VALID	IN	PUNCTUAL	ONGOING
PHJSDD	VALID	NO REL		
YKPBZD	VALID	IN	HABITUAL	ONGOING
VPNOXD	INVALID			
OHVUHO	INVALID			
PJMKNG	VALID	IN	PUNCTUAL	ONGOING
ESSIZH	VALID	IN	PUNCTUAL	ALREADY HAPPENED
MLXUWT	VALID	NO REL		
FUHOMG	INVALID			
GBRUMR	VALID	FROM	HABITUAL	ALREADY HAPPENED
HEHTNN	VALID	IN	PUNCTUAL	ALREADY HAPPENED
TQSCNE	VALID	IN	HABITUAL	ONGOING
EBLNOF	INVALID			
WSDTCK	VALID	THRU	PUNCTUAL	ONGOING
TAVTOG	VALID	NEAR	PUNCTUAL	ONGOING
GPBVXO	INVALID			
WOZSYQ	VALID	NO REL		
ADSWRG	VALID	NO REL		
WMPBAP	INVALID			
XYKODH	VALID	IN	PUNCTUAL	ONGOING
ZJFWMG	VALID	IN	HABITUAL	ALREADY HAPPENED
TFNKJH	VALID	IN	PUNCTUAL	ALREADY HAPPENED
AGPOFK	VALID	TO	PUNCTUAL	ONGOING
FWMJCU	VALID	NEAR	PUNCTUAL	ONGOING
BYBDZD	INVALID			
ISGITJ	INVALID			
BNMKSK	VALID	IN	HABITUAL	ONGOING
FLZVIE	VALID	TO	PUNCTUAL	ALREADY HAPPENED
KDFPSM	INVALID			
XPDRPZ	INVALID			
ISICYB	VALID	TO	PUNCTUAL	ONGOING
LDPRPG	VALID	NO REL		
VWOCMO	VALID	NEAR	HABITUAL	ONGOING
ZERWVS	VALID	NO REL		
GPJZQT	VALID	THRU	PUNCTUAL	ONGOING
TVRAQJ	INVALID			
VROEDM	VALID	NO REL		
BMKOUA	VALID	NO REL		
SGXKBT	VALID	NO REL		
WSAIKG	INVALID			
JSCTCF	VALID	IN	PUNCTUAL	ONGOING
PNMGSQ	VALID	TO	PUNCTUAL	ONGOING
KZXEVX	INVALID			
MVYXUV	VALID	TO	PUNCTUAL	ONGOING
ZHZLRZ	VALID	IN	PUNCTUAL	ONGOING
PELZJH	VALID	IN	HABITUAL	ALREADY HAPPENED
PHROOM	VALID	IN	HABITUAL	ONGOING
HUCBOV	VALID	THRU	HABITUAL	ONGOING
RDIMZF	VALID	FROM	HABITUAL	ALREADY HAPPENED
RDAMSV	VALID	NO REL		
EPCEXL	INVALID			
WLJLWZ	VALID	NO REL		
LLOUHH	VALID	NO REL		
TOVNOH	VALID	IN	PUNCTUAL	ALREADY HAPPENED
WQDZYI	VALID	NO REL		
EJRPGM	VALID	IN	HABITUAL	ALREADY HAPPENED
CCPVEF	VALID	NO REL		
RYFHQU	VALID	NO REL		
XDNZSV	VALID	IN	HABITUAL	ONGOING
ZQNJTV	VALID	NEAR	PUNCTUAL	ALREADY HAPPENED
JBWQET	VALID	IN	HABITUAL	ALREADY HAPPENED
OVIMRG	VALID	IN	HABITUAL	ALREADY HAPPENED
VBFGOG	VALID	IN	PUNCTUAL	ONGOING
KQJBRW	INVALID			
MTITBU	INVALID			
RUMJZY	INVALID			
BAKAEO	VALID	IN	PUNCTUAL	ONGOING
CDSZPB	VALID	IN	PUNCTUAL	ALREADY HAPPENED
OXVVQO	INVALID			
QQVBAQ	VALID	IN	HABITUAL	ONGOING
SSDNSZ	VALID	NO REL		
ITPZAQ	VALID	NEAR	PUNCTUAL	ONGOING
EOQSRF	VALID	IN	PUNCTUAL	ALREADY HAPPENED
XAQNFK	VALID	IN	PUNCTUAL	ONGOING
DLHFVE	VALID	NO REL		
XXKZHT	VALID	NO REL		
XCMXWI	VALID	TO	HABITUAL	ONGOING
PJSUIX	VALID	NO REL		
SKGZRM	VALID	FROM	PUNCTUAL	ONGOING
ZAVTSU	VALID	NO REL		
IVPQPE	INVALID			
EQJIRB	VALID	IN	PUNCTUAL	ONGOING
JMZDTE	INVALID			
FVUCBP	VALID	NO REL		
VUZRSD	VALID	NO REL		
AKXIOZ	VALID	IN	HABITUAL	ALREADY HAPPENED
PQHABO	VALID	NO REL		
WEYYAM	VALID	NO REL		
DGZHGD	VALID	IN	HABITUAL	ALREADY HAPPENED
ITNSWH	INVALID			
NCYRME	VALID	NO REL		
TGRGMU	VALID	IN	HABITUAL	ONGOING
CPZHZU	INVALID			
INBORQ	VALID	IN	PUNCTUAL	ALREADY HAPPENED
UEFYMA	VALID	NO REL		
HWITRK	VALID	TO	PUNCTUAL	ONGOING
SDAXLH	VALID	NEAR	PUNCTUAL	ONGOING
JBONJD	VALID	IN	PUNCTUAL	ALREADY HAPPENED
TMZXIM	VALID	IN	HABITUAL	ALREADY HAPPENED
GCRCMV	VALID	NO REL		
DNPBJU	INVALID			
GWYSOA	VALID	NO REL		
FPBDAC	VALID	IN	PUNCTUAL	ALREADY HAPPENED
CMSJAT	VALID	IN	PUNCTUAL	ONGOING
DXCKHS	VALID	IN	HABITUAL	ONGOING
WQVUFC	VALID	NO REL		
FZQVBG	VALID	IN	HABITUAL	ONGOING
MQAXYT	VALID	IN	HABITUAL	ALREADY HAPPENED
GWNQXM	INVALID			
MUSORS	VALID	FROM	HABITUAL	ALREADY HAPPENED
FXUSZZ	INVALID			
ZTGUWW	VALID	NO REL		
AOEPUK	VALID	IN	HABITUAL	ALREADY HAPPENED
ZKIDUR	INVALID			
JUWLBS	VALID	NO REL		
JNMJND	VALID	NEAR	PUNCTUAL	ONGOING
FCUZAH	INVALID			
YDETAH	VALID	IN	HABITUAL	ALREADY HAPPENED
VDKWMZ	VALID	IN	HABITUAL	ALREADY HAPPENED
FEJJFL	VALID	NO REL		
CHZOYW	VALID	NEAR	HABITUAL	ALREADY HAPPENED
AJMEXH	INVALID			
GVEWZF	INVALID			
UUCBTC	VALID	NO REL		
UOGFRC	INVALID			
SKMRAU	VALID	IN	PUNCTUAL	ALREADY HAPPENED
CEYXVC	VALID	IN	PUNCTUAL	ALREADY HAPPENED
ALLAPD	INVALID			
AALGQX	VALID	TO	PUNCTUAL	ONGOING
ILZGXZ	VALID	IN	PUNCTUAL	ALREADY HAPPENED
UYXIKL	VALID	NO REL		
UIQYZJ	VALID	TO	PUNCTUAL	ONGOING
WTETZZ	VALID	IN	PUNCTUAL	ONGOING
YYOYZE	INVALID			
XQXVBN	VALID	FROM	PUNCTUAL	ONGOING
ZWOOMV	VALID	NEAR	PUNCTUAL	ONGOING
OPUPCZ	VALID	IN	PUNCTUAL	ALREADY HAPPENED
WZMKNO	INVALID			
MGHUHC	VALID	IN	PUNCTUAL	ONGOING
YYIDOS	VALID	NO REL		
SMWGZY	VALID	IN	HABITUAL	ALREADY HAPPENED	
LCOWBJ	VALID	NO REL		
WEPTXQ	VALID	NO REL		
KXMBIJ	VALID	IN	HABITUAL	ONGOING
QNMHFJ	VALID	TO	PUNCTUAL	ONGOING
HGPFZI	VALID	NO REL		
IUAMVS	INVALID			
EULJLP	INVALID			
IVBQBV	VALID	TO	PUNCTUAL	ONGOING
OWQNLT	INVALID			
BGBJQS	VALID	IN	PUNCTUAL	ONGOING
FDWAIA	VALID	NO REL		
DNVMNH	INVALID			
PLXAJA	VALID	IN	PUNCTUAL	ONGOING
JXNEMA	VALID	IN	PUNCTUAL	ONGOING
PTUYKW	VALID	NO REL		
LJAUUE	VALID	IN	HABITUAL	ONGOING
LGFSIR	VALID	NO REL		
VIYRVW	INVALID			
BYBFGS	INVALID			
LGBYWP	VALID	IN	HABITUAL	ONGOING
BUCQCZ	INVALID			
GKLZQA	INVALID			
JRSZRS	VALID	NO REL		
HGMDMV	VALID	NO REL		
MRRQFI	INVALID			
GOVVMD	VALID	IN	PUNCTUAL	ONGOING
SNYLIG	VALID	IN	HABITUAL	ONGOING
ZVTPYX	VALID	IN	PUNCTUAL	ONGOING
WGPULA	VALID	IN	PUNCTUAL	ONGOING
KXJWSU	INVALID			
NFGCWB	VALID	IN	HABITUAL	ALREADY HAPPENED
RDSWHQ	VALID	IN	HABITUAL	ONGOING
ONQOFV	INVALID			
SPIVBK	VALID	TO	PUNCTUAL	ALREADY HAPPENED
ETPAII	VALID	NO REL		
JLZIBF	VALID	TO	PUNCTUAL	ALREADY HAPPENED
CUKBFN	VALID	IN	PUNCTUAL	ALREADY HAPPENED
ILMMSR	VALID	TO	PUNCTUAL	ONGOING
MYNBJW	VALID	NO REL		
MRSTQT	INVALID			
ZMIYDD	VALID	NO REL		
VNSBXY	VALID	NO REL		
JYQWAF	VALID	IN	HABITUAL	ONGOING
ZVJCTD	INVALID			
OFFWUC	VALID	NO REL		
PRISBS	INVALID			
UUPWFN	VALID	NO REL		
LLNTHT	VALID	NO REL		
PEGVWI	VALID	NO REL		
HDQDQL	VALID	IN	PUNCTUAL	ALREADY HAPPENED
PYRKJT	VALID	NO REL		
FFPVOV	VALID	IN	HABITUAL	ALREADY HAPPENED
QTNCMC	VALID	THRU	PUNCTUAL	ONGOING
VLSIBV	VALID	IN	PUNCTUAL	ONGOING
LZDVTN	VALID	NEAR	PUNCTUAL	ONGOING
IDMYOR	VALID	NO REL		
DOIKGG	VALID	NO REL		
KIDQJU	VALID	NO REL		
HQETNF	VALID	TO	PUNCTUAL	ONGOING
MEANYY	VALID	NEAR	PUNCTUAL	ONGOING
GHMJPQ	VALID	NO REL		
TLXKUO	VALID	FROM	PUNCTUAL	ONGOING
DHTOII	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
QRSFDV	VALID	IN	PUNCTUAL	ALREADY HAPPENED
UYWSGJ	VALID	TO	HABITUAL	ONGOING
NSSMBO	INVALID			
HZNSPL	VALID	IN	HABITUAL	ALREADY HAPPENED
XHHHCZ	VALID	IN	PUNCTUAL	ONGOING
LUIQRB	VALID	IN	PUNCTUAL	ALREADY HAPPENED
GZXADE	INVALID			
XSMKZH	VALID	IN	HABITUAL	ALREADY HAPPENED
PPLAWB	INVALID			
OAVBVG	VALID	NO REL		
JHCPFC	VALID	FROM	HABITUAL	ONGOING
BPAORW	INVALID			
GYQJIS	INVALID			
WXVZMW	VALID	TO	PUNCTUAL	ALREADY HAPPENED
QYCQVU	VALID	NEAR	PUNCTUAL	ONGOING
LTWRTP	VALID	NO REL		
OQWIDM	VALID	NO REL		
CGOLCX	VALID	NEAR	PUNCTUAL	ONGOING
JNVMVQ	INVALID			
MMCWVU	VALID	NO REL		
GHXGSA	INVALID			
JSNUXQ	INVALID			
NLBUHT	VALID	NO REL		
WAGIYM	INVALID			
OSOOIM	INVALID			
SYSXUI	VALID	NO REL		
RVTZCZ	VALID	NO REL		
RDQMZG	INVALID			
ULASHX	VALID	NO REL		
IBGTQY	VALID	NO REL	PUNCTUAL	ONGOING
MJGCRR	VALID	IN	PUNCTUAL	ONGOING
VOJKTH	VALID	IN	PUNCTUAL	ALREADY HAPPENED
VXZBJT	VALID	TO	HABITUAL	ONGOING
KKBYEA	VALID	IN	HABITUAL	ONGOING
AFNYUN	VALID	NO REL		
HCEVVU	VALID	THRU	PUNCTUAL	ALREADY HAPPENED
MJKLZO	VALID	TO	HABITUAL	ALREADY HAPPENED
LAIMAK	VALID	NO REL		
GEORVJ	VALID	NEAR	PUNCTUAL	ONGOING
URHMHF	VALID	IN	HABITUAL	ONGOING
NPRMIU	VALID	THRU	HABITUAL	ALREADY HAPPENED
UEHDKZ	INVALID			
SEKQIQ	VALID	IN	HABITUAL	ONGOING
HKAHMC	VALID	NO REL		
BLIEVK	VALID	IN	PUNCTUAL	ALREADY HAPPENED
HDMUWI	VALID	NO REL		
VBOBMU	INVALID			
MLATXP	VALID	NO REL		
JLCCYN	INVALID			
NTMTAN	VALID	IN	PUNCTUAL	ONGOING
ZKVJLG	VALID	NO REL		
OILKRN	VALID	NEAR	HABITUAL	ONGOING
MDFZGD	INVALID			
FXSQVQ	VALID	NEAR	PUNCTUAL	ONGOING
VHASOL	INVALID			
HFTHWU	INVALID			
VXILET	VALID	NO REL		
GVAODF	INVALID			
NXGCVJ	VALID	IN	HABITUAL	ONGOING
UNLLWM	VALID	IN	HABITUAL	ONGOING
NSVWZB	INVALID			
EPBQOA	VALID	TO	HABITUAL	ONGOING
YBGYAQ	INVALID			
QGMYMI	VALID	NO REL		
PFDGWP	VALID	IN	HABITUAL	ONGOING
OFTIFZ	VALID	FROM	HABITUAL	ONGOING
VDLNMQ	VALID	NO REL		
MEISBO	VALID	IN	PUNCTUAL	ALREADY HAPPENED
CODYCX	VALID	NO REL		
ZBZQFA	VALID	NO REL		
XYTWOU	VALID	IN	PUNCTUAL	ALREADY HAPPENED
DCYZGS	VALID	NO REL		
QYOBJI	VALID	IN	PUNCTUAL	ONGOING
DTSKOF	VALID	TO	PUNCTUAL	ONGOING
JTKMDH	VALID	FROM	HABITUAL	ONGOING
RVEIZA	VALID	IN	HABITUAL	ALREADY HAPPENED
KRDNEW	INVALID			
GQYAFI	VALID	IN	PUNCTUAL	ONGOING
XANSPN	VALID	IN	HABITUAL	ONGOING
STVRYZ	VALID	IN	PUNCTUAL	ALREADY HAPPENED
LHCBGB	VALID	IN	PUNCTUAL	ONGOING
LGPDOA	INVALID			
DDMIGW	VALID	NO REL		
OYNNVS	VALID	IN	PUNCTUAL	ONGOING
MEZNMT	VALID	IN	PUNCTUAL	ONGOING
CYHRYS	VALID	IN	PUNCTUAL	ONGOING
ASQORS	VALID	IN	HABITUAL	ONGOING
EMBDVR	VALID	IN	PUNCTUAL	ALREADY HAPPENED
QLWHLH	INVALID			
PEXNUZ	VALID	IN	HABITUAL	ONGOING
MAEJYQ	VALID	NEAR	PUNCTUAL	ALREADY HAPPENED
TVJYHC	VALID	IN	HABITUAL	ALREADY HAPPENED
GCQVYH	VALID	IN	PUNCTUAL	ONGOING
RUYDCZ	VALID	THRU	PUNCTUAL	ALREADY HAPPENED
UHGQQY	VALID	TO	PUNCTUAL	ALREADY HAPPENED
YPGZIU	VALID	IN	PUNCTUAL	ONGOING
RICKRL	VALID	IN	HABITUAL	ONGOING
MMYJWL	VALID	IN	PUNCTUAL	ONGOING
ZGSXYN	INVALID			
ONIMID	INVALID			
PVRPLK	VALID	NO REL		
IESZAJ	VALID	IN	PUNCTUAL	ONGOING
VRYFXE	VALID	IN	HABITUAL	ALREADY HAPPENED
UBAJZZ	VALID	NO REL		
LBQGPV	VALID	TO	PUNCTUAL	ONGOING
OLJMLZ	INVALID			
LXQJGY	INVALID			
BZYFSW	VALID	NO REL		
PPHXJL	VALID	NEAR	HABITUAL	ONGOING
GSTIPM	VALID	IN	PUNCTUAL	ONGOING
PEJEFV	VALID	IN	HABITUAL	ONGOING
UMBZWD	INVALID			
DJVOJB	VALID	NO REL		
RRZRKD	VALID	IN	HABITUAL	ONGOING
UJZBFO	VALID	NEAR	PUNCTUAL	ONGOING
ANNVTI	VALID	IN	HABITUAL	ALREADY HAPPENED
EEIDVE	VALID	TO	HABITUAL	ONGOING
TPTDPF	VALID	IN	PUNCTUAL	ALREADY HAPPENED
HYFREC	VALID	IN	HABITUAL	ONGOING
QMPLNS	VALID	IN	HABITUAL	ALREADY HAPPENED
SLWZWJ	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
HBNKTO	VALID	NO REL		
IKXNXY	VALID	IN	HABITUAL	ONGOING
YEJMQO	VALID	NO REL		
TRTZQJ	VALID	IN	HABITUAL	ONGOING
VQVMKY	VALID	TO	PUNCTUAL	ALREADY HAPPENED
ABREDQ	VALID	IN	HABITUAL	ONGOING
WDLWPT	VALID	IN	HABITUAL	ALREADY HAPPENED
BQBRDX	VALID	IN	HABITUAL	ONGOING
HNOSPY	VALID	NEAR	HABITUAL	ALREADY HAPPENED
BRPRPV	VALID	IN	HABITUAL	ONGOING
NWZJZN	VALID	NEAR	PUNCTUAL	ONGOING
PQADYS	VALID	IN	HABITUAL	ONGOING
WOPMSC	VALID	NO REL		
GROISX	INVALID			
KBGFMQ	VALID	NEAR	PUNCTUAL	ONGOING
MTFCDI	VALID	NO REL		
ZTMBHC	INVALID			
KBKHUU	VALID	IN	PUNCTUAL	ALREADY HAPPENED
EVESKI	VALID	TO	PUNCTUAL	ALREADY HAPPENED
RXZWMV	VALID	IN	PUNCTUAL	ONGOING
GZGHDN	VALID	NO REL		
ZYMRDB	VALID	IN	HABITUAL	ONGOING
XPYKJO	VALID	IN	HABITUAL	ALREADY HAPPENED
FAGWAZ	VALID	IN	PUNCTUAL	ONGOING
NWGOTG	VALID	NEAR	PUNCTUAL	ONGOING
NUFQQD	VALID	IN	PUNCTUAL	ONGOING
RJLTCW	INVALID			
XSHXVC	VALID	NO REL		
NZINGW	VALID	IN	HABITUAL	ALREADY HAPPENED
CWAUFI	INVALID			
WRUPXR	VALID	IN	PUNCTUAL	ONGOING
VYRBNU	VALID	NO REL		
MOMVTQ	VALID	NEAR	PUNCTUAL	ONGOING
KGLMOF	VALID	NO REL		
BJFYBI	VALID	THRU	PUNCTUAL	ONGOING
NMIFMR	INVALID			
WGLLRQ	INVALID			
DQFOFX	VALID	NO REL		
UTLKQX	VALID	IN	HABITUAL	ALREADY HAPPENED
QKEYVU	VALID	NO REL		
KAVELD	VALID	NEAR	PUNCTUAL	ONGOING
WGVMNA	VALID	IN	PUNCTUAL	ONGOING
GGSLIK	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
PDJGBA	VALID	NEAR	PUNCTUAL	ONGOING
SISSQV	VALID	IN	HABITUAL	ONGOING
NLTDPB	VALID	NO REL		
SNWILB	VALID	FROM	HABITUAL	ALREADY HAPPENED
CIIHAG	INVALID			
PXVGER	INVALID			
EPMAPP	VALID	IN	HABITUAL	ONGOING
XTVUVK	INVALID			
BDMYSS	VALID	NO REL		
WYGXUR	VALID	IN	HABITUAL	ONGOING
RWUGGI	INVALID			
ZHHMPO	VALID	IN	PUNCTUAL	ALREADY HAPPENED
FFIWCJ	INVALID			
PJHZPM	VALID	NO REL		
MVQULT	VALID	NO REL		
IGWAFZ	VALID	IN	HABITUAL	ALREADY HAPPENED
NTTGAU	VALID	IN	HABITUAL	ALREADY HAPPENED
SXBBUI	VALID	NO REL		
SJBONL	INVALID			
FZTLJV	VALID	IN	PUNCTUAL	ONGOING
PFTGNX	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
JEKEDV	VALID	NEAR	PUNCTUAL	ONGOING
VDXPZR	VALID	IN	PUNCTUAL	ONGOING
XZGPCE	VALID	NO REL		
ZDPBHO	VALID	IN	PUNCTUAL	ONGOING
WISUGX	VALID	IN	HABITUAL	ONGOING
CRULSO	VALID	NO REL		
FCZIGJ	VALID	NO REL		
RZEUCB	VALID	NEAR	HABITUAL	ONGOING
LWXYGD	VALID	IN	HABITUAL	ONGOING
CYNUVN	VALID	NEAR	PUNCTUAL	ONGOING
JCDHCL	VALID	TO	HABITUAL	ALREADY HAPPENED
CKJUQP	VALID	FROM	HABITUAL	ALREADY HAPPENED
BMVYKP	VALID	IN	HABITUAL	ONGOING
EUNCHY	VALID	NO REL		
RNABKA	VALID	TO	PUNCTUAL	ONGOING
